Number of cells in the frame (Cage Size),Sum,Number of Combinations,Possible Combinations
4,23,9,"1-5-8-9, 1-6-7-9, 2-4-8-9, 2-5-7-9, 2-6-7-8, 3-4-7-9, 3-5-6-9, 3-5-7-8, 4-5-6-8"
4,24,8,"1-6-8-9, 2-5-8-9, 2-6-7-9, 3-4-8-9, 3-5-7-9, 3-6-7-8, 4-5-6-9, 4-5-7-8"
4,25,6,"1-7-8-9, 2-6-8-9, 3-5-8-9, 3-6-7-9, 4-5-7-9, 4-6-7-8"
4,26,5,"2-7-8-9, 3-6-8-9, 4-5-8-9, 4-6-7-9, 5-6-7-8"
4,27,3,"3-7-8-9, 4-6-8-9, 5-6-7-9"
4,28,2,"4-7-8-9, 5-6-8-9"
4,29,1,5-7-8-9
4,30,1,6-7-8-9
5,15,1,1-2-3-4-5
5,16,1,1-2-3-4-6
5,17,2,"1-2-3-4-7, 1-2-3-5-6"
5,18,3,"1-2-3-4-8, 1-2-3-5-7, 1-2-4-5-6"
5,19,5,"1-2-3-4-9, 1-2-3-5-8, 1-2-3-6-7, 1-2-4-5-7, 1-3-4-5-6"
5,20,6,"1-2-3-5-9, 1-2-3-6-8, 1-2-4-5-8, 1-2-4-6-7, 1-3-4-5-7, 2-3-4-5-6"
5,21,8,"1-2-3-6-9, 1-2-3-7-8, 1-2-4-5-9, 1-2-4-6-8, 1-2-5-6-7, 1-3-4-5-8, 1-3-4-6-7, 2-3-4-5-7"
5,22,9,"1-2-3-7-9, 1-2-4-6-9, 1-2-4-7-8, 1-2-5-6-8, 1-3-4-5-9, 1-3-4-6-8, 1-3-5-6-7, 2-3-4-5-8, 2-3-4-6-7"
5,23,11,"1-2-3-8-9, 1-2-4-7-9, 1-2-5-6-9, 1-2-5-7-8, 1-3-4-6-9, 1-3-4-7-8, 1-3-5-6-8, 1-4-5-6-7, 2-3-4-5-9, 2-3-4-6-8, 2-3-5-6-7"
5,24,11,"1-2-4-8-9, 1-2-5-7-9, 1-2-6-7-8, 1-3-4-7-9, 1-3-5-6-9, 1-3-5-7-8, 1-4-5-6-8, 2-3-4-6-9, 2-3-4-7-8, 2-3-5-6-8, 2-4-5-6-7"
5,25,12,"1-2-5-8-9, 1-2-6-7-9, 1-3-4-8-9, 1-3-5-7-9, 1-3-6-7-8, 1-4-5-6-9, 1-4-5-7-8, 2-3-4-7-9, 2-3-5-6-9, 2-3-5-7-8, 2-4-5-6-8, 3-4-5-6-7"
5,26,11,"1-2-6-8-9, 1-3-5-8-9, 1-3-6-7-9, 1-4-5-7-9, 1-4-6-7-8, 2-3-4-8-9, 2-3-5-7-9, 2-3-6-7-8, 2-4-5-6-9, 2-4-5-7-8, 3-4-5-6-8"
5,27,11,"1-2-7-8-9, 1-3-6-8-9, 1-4-5-8-9, 1-4-6-7-9, 1-5-6-7-8, 2-3-5-8-9, 2-3-6-7-9, 2-4-5-7-9, 2-4-6-7-8, 3-4-5-6-9, 3-4-5-7-8"
5,28,9,"1-3-7-8-9, 1-4-6-8-9, 1-5-6-7-9, 2-3-6-8-9, 2-4-5-8-9, 2-4-6-7-9, 2-5-6-7-8, 3-4-5-7-9, 3-4-6-7-8"
5,29,8,"1-4-7-8-9, 1-5-6-8-9, 2-3-7-8-9, 2-4-6-8-9, 2-5-6-7-9, 3-4-5-8-9, 3-4-6-7-9, 3-5-6-7-8"
5,30,6,"1-5-7-8-9, 2-4-7-8-9, 2-5-6-8-9, 3-4-6-8-9, 3-5-6-7-9, 4-5-6-7-8"
5,31,5,"1-6-7-8-9, 2-5-7-8-9, 3-4-7-8-9, 3-5-6-8-9, 4-5-6-7-9"
5,32,3,"2-6-7-8-9, 3-5-7-8-9, 4-5-6-8-9"
5,33,2,"3-6-7-8-9, 4-5-7-8-9"
5,34,1,4-6-7-8-9
5,35,1,5-6-7-8-9
